subtitle,author,url,text,section,title,date
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/brasil/ele-disse-que-errou/,"Paulo Guedes vai tentar se controlar mais nos próximos embates com parlamentares.O senador Jorge Kajuru disse ao Estadão depois de se reunir com o ministro:“Ele disse que errou e que não devia ter respondido e que a partir de agora não vai mais fazer isso. Disse que já estava preparado para as ofensas, só não imaginava o nível.”",Brasil,“Ele disse que errou”,05/04/2019 10:24:24
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/economia/reforma-reforma-e-reforma/,"No evento do Lide de João Doria em Campos de Jordão, só se fala na reforma da Previdência.Nos bastidores, empresários temem o tamanho da desidratação da proposta pelo Congresso e comentam o que consideram “erros de condução” na articulação política.Os ministros Paulo Guedes, Ricardo Vélez e Ricardo Salles participam hoje da programação. Rodrigo Maia e Davi Alcolumbre, além de cinco governadores, também vão estar presentes ao longo do evento.",Economia,"Reforma, reforma e reforma",05/04/2019 10:06:23
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/economia/fuga-para-o-paraguai/,"No evento do Lide de João Doria, em Campos do Jordão, empresários comentam nos bastidores que “está muito melhor para investir no Paraguai”, onde custo e burocracia são menores do que no Brasil.Quem já está com um pé no país vizinho é o empresário Flávio Rocha, da Riachuelo.",Economia,A fuga para o Paraguai,05/04/2019 10:13:42
Nao tem subtitle,Renan Ramalho,https://www.oantagonista.com/brasil/agu-quer-recuperar-r-25-bilhoes-desviados-nos-proximos-2-anos/,"A Advocacia-Geral da União tem como meta recuperar R$ 25 bilhões nos próximos 2 anos em acordos de leniência com empresas investigadas por corrupção.“Nós temos que ser ambiciosos”, disse hoje o chefe do órgão, durante café com jornalistas.",Brasil,AGU quer recuperar R$ 25 bilhões desviados nos próximos 2 anos,05/04/2019 10:18:49
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/brasil/bolsonaro-encerra-casamento-com-velez/,"O noivado de Jair Bolsonaro com Vélez Rodríguez acabou.O presidente disse hoje para jornalistas reunidos no Palácio do Planalto:“Está bastante claro que não está dando certo o ministro Vélez. Na segunda-feira, vamos tirar a aliança da mão direita, ou vai para a esquerda ou vai para a gaveta”",Brasil,Bolsonaro encerra noivado com Vélez,05/04/2019 10:16:05
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/brasil/kajuru-se-eu-visse-gilmar-sairia-voando/,"Jorge Kajuru foi perguntado pela Veja se o governo atuou contra a CPI da Lava Toga.Ele respondeu:“Parte dele foi contra. Fui ao gabinete de Flávio Bolsonaro há quatro semanas e ele perguntou: ‘Kajuru, você quer criar uma crise?’. Outro senador me disse que não apoia a CPI porque receber Gilmar Mendes toda semana para jantar. Até me convidou, mas respondi: ‘Pássaros e porcos não se sentam à mesma mesa. Se eu visse Gilmar, sairia voando’”.A esse propósito,  do senador Alessandro Vieira na .",Brasil,"Kajuru: “Se eu visse Gilmar, sairia voando”",05/04/2019 10:11:35
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/brasil/um-ministro-sendo-desrespeitado-e-reagindo/,"No encontro do Lide em Campos do Jordão, Rodrigo Maia comentou a atuação de Paulo Guedes na CCJ da Câmara na última quarta-feira.O presidente da Câmara disse ao Estadão:“Tem muita gente jovem, muita gente começando. [A base] não se organizou da melhor forma, do meu ponto de vista. Mas não adianta olhar para trás. Temos que olhar para a frente. Quando o ministro for para a comissão especial, vamos deixar claro que queremos ouvi-lo sobre Previdência. Um debate de alto nível. A imagem que ficou foi ruim para o Brasil: um ministro sendo desrespeitado e reagindo depois de 8 horas. Não foi bom para o parlamento, nem para o Brasil. Aprendemos sempre com nossos erros. O erro é sempre coletivo.”",Brasil,“Um ministro sendo desrespeitado e reagindo”,05/04/2019 10:29:23
Nao tem subtitle,Renan Ramalho,https://www.oantagonista.com/brasil/relator-pacote-anticrime-no-senado-quer-aprovar-ate-maio-prisao-em-2a-instancia/,"Relator do maior parte do pacote anticrime no Senado, Marcos do Val (PPS-ES) disse a  que planeja aprovar até maio a prisão em segunda instância, da qual disse não abrir mão.Se na Câmara, mesmo os deputados aliados do governo já admitem deixar a medida pelo caminho para salvar o restante da pacote, Marcos do Val considera que ela é essencial.“Se não for aprovada a prisão em segunda instância, não vai adiantar aumentar as penalidades se os condenados vão continuar soltos até prescrever”, resumiu o senador, estreante no Parlamento.Ele vê clima mais favorável entre os senadores para aprovar a proposta que entre deputados. E diz que o adiamento da decisão sobre a questão no STF não interfere nos planos de aprovação.“O que está acontecendo na nossa Casa é que os senadores não estão admitindo STF e STJ legislando”, afirmou.",Brasil,Relator do pacote anticrime no Senado quer aprovar até maio prisão em 2ª instância,05/04/2019 10:00:27
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/brasil/qual-o-crime-de-magno-malta/,"Uma liderança do PR até hoje se pergunta sobre por que Magno Malta não conseguiu nada no governo.“Ainda não consigo entender. Ele esteve ao lado do Jair Bolsonaro o tempo todo, desde o início, e ficou sem nada. Que crime tão grave o Malta cometeu? Ninguém nunca soube me responder.”",Brasil,Qual o crime de Magno Malta?,05/04/2019 09:30:12
Nao tem subtitle,Nao tem autor,https://www.oantagonista.com/economia/salario-minimo-sem-aumento-real-2/,"Jair Bolsonaro quer que o salário mínimo seja corrigido apenas pela inflação, sem aumento real.O Globo diz que, segundo estimativas da equipe econômica, “o impacto positivo no próximo ano pode chegar a 7,6 bilhões de reais”. ",Economia,Salário mínimo sem aumento real,05/04/2019 09:45:44
